"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","480391012","5","11.2","ug/m3 LC","55","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"01/07/2024","AQS","480391012","5","6","ug/m3 LC","33","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"01/13/2024","AQS","480391012","5","4.1","ug/m3 LC","23","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"01/19/2024","AQS","480391012","5","7.2","ug/m3 LC","40","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"01/25/2024","AQS","480391012","5","3.5","ug/m3 LC","19","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"01/28/2024","AQS","480391012","5","3.2","ug/m3 LC","18","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"01/31/2024","AQS","480391012","5","3.2","ug/m3 LC","18","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"02/06/2024","AQS","480391012","5","6.9","ug/m3 LC","38","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"02/12/2024","AQS","480391012","5","2","ug/m3 LC","11","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"02/18/2024","AQS","480391012","5","5.8","ug/m3 LC","32","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
