longitude,latitude,site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,cnty_fips,county,monitor_type,compliance_2024,min_date,max_date,daily_cnt
-95.354974,28.964394,480391012,,7.5125,7.948333333333334,,0,0,0,31.8,0.8,39,Brazoria,EPA,in,January 2023,December 2024,116
-94.861289,29.254474,481671034,7.995086705202312,9.771337579617834,7.031707317073171,8.266043867297773,0,1,3,50.9,0.1,167,Galveston,EPA,in,January 2018,December 2024,2301
-95.326137,29.901036,482010024,10.186233766233766,10.380678851174935,10.857104557640751,10.47467239168315,0,7,4,42.9,0.0,201,Harris,EPA,out,January 2018,December 2024,2700
-95.284096,29.828086,482010046,11.772159090909092,13.032551319648094,12.824464831804283,12.54305841412049,3,4,3,44.7,-0.8,201,Harris,EPA,out,May 2021,December 2024,1248
-95.499219,29.695729,482010055,9.458482142857141,10.837709497206705,10.6533527696793,10.316514803247715,0,3,2,40.7,2.7,201,Harris,EPA,out,April 2022,December 2024,925
-95.031232,29.770698,482010058,10.496078431372549,11.510028653295128,10.396363636363636,10.800823573677105,0,6,4,50.2,-0.1,201,Harris,EPA,out,January 2018,December 2024,2430
-95.635833,29.723333,482010066,8.035483870967742,9.41608187134503,9.060119047619047,8.837228263310607,0,2,3,43.6,-0.3,201,Harris,EPA,out,January 2021,December 2024,1281
-95.220582,29.767997,482011034,9.786167146974064,10.613636363636363,10.17185628742515,10.19055326601186,0,7,6,47.4,0.0,201,Harris,EPA,out,January 2018,December 2024,2408
-95.257593,29.733726,482011035,10.622435897435897,11.320558375634517,10.74064914992272,10.89454780766438,0,7,13,46.7,1.6,201,Harris,EPA,out,January 2018,December 2024,5255
-95.128508,29.670025,482011039,8.709417040358744,9.787113402061856,9.56910229645094,9.35521091295718,0,2,8,47.7,-0.8,201,Harris,EPA,out,January 2018,December 2024,3925
-95.015544,29.583047,482011050,8.436389684813754,8.641111111111112,7.743465909090909,8.273655568338592,0,0,1,45.6,1.4,201,Harris,EPA,in,January 2018,December 2024,2357
-95.38769,29.81453,482011052,11.252023121387282,12.416519174041298,11.906470588235294,11.858337627887957,1,7,5,44.2,0.9,201,Harris,EPA,out,January 2018,December 2024,1634
-95.425128,30.350302,483390078,9.688252148997135,10.187777777777777,12.04845070422535,10.641493543666755,1,4,5,39.7,-0.1,339,Montgomery,EPA,out,January 2018,December 2024,2363
