longitude,latitude,site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,cnty_fips,county,monitor_type,compliance_2024,min_date,max_date,daily_cnt
-95.07647,29.532282,2386,6.55767955801105,7.72889502762431,7.111431209602954,7.132668598412772,0.0,0.0,2.0,37.96666666666667,0.9066666666666667,48167.0,,PurpleAir,in,January 2022,December 2024,1085.0
-95.73739,29.955063,3033,7.184091760299625,8.936270718232043,7.931611418047882,8.017324632193183,0.0,0.0,1.0,38.64666666666666,1.3033333333333332,48201.0,,PurpleAir,in,January 2022,December 2024,1080.0
-95.12009,29.58335,3298,8.50281767955801,9.88160220994475,9.340945821854913,9.241788570452558,0.0,2.0,4.0,46.35333333333333,1.3033333333333332,48201.0,,PurpleAir,out,January 2022,December 2024,1087.0
-95.70764,29.762896,3777,6.658959484346225,9.052891344383056,8.383,8.031616942909759,0.0,1.0,4.0,49.81,0.7933333333333332,48201.0,,PurpleAir,in,January 2022,December 2024,1064.0
-95.30876,29.71706,6752,7.9630833333333335,8.481898148148147,7.498726053639848,7.981235845040442,0.0,0.0,2.0,41.53666666666667,1.19,48201.0,,PurpleAir,in,January 2022,December 2024,1068.0
-95.494644,30.053808,25999,8.345340699815837,9.603747697974217,11.141904761904762,9.696997719898272,0.0,2.0,6.0,86.98333333333332,0.9633333333333333,48201.0,,PurpleAir,out,January 2022,December 2024,1081.0
-95.370056,29.77074,27821,3.0208655616942908,3.46767619047619,3.627784037558685,3.3721085965763886,0.0,0.0,0.0,20.4,0.45333333333333325,48201.0,,PurpleAir,in,January 2022,December 2024,1067.0
-95.113846,29.790651,27905,8.27536832412523,7.426620626151013,5.916889534883721,7.206292828386654,0.0,0.0,1.0,45.843333333333334,0.9633333333333333,48201.0,,PurpleAir,in,January 2022,December 2024,1068.0
-95.585686,29.73305,28851,7.378876611418048,8.509548802946593,8.115041322314049,8.001155578892897,0.0,0.0,3.0,47.88333333333333,0.9633333333333334,48201.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.74033,29.557081,30593,6.555174953959485,7.657826887661141,5.630137741046832,6.614379860889152,0.0,0.0,2.0,39.32666666666667,0.5666666666666667,48157.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.37274,29.78264,31163,7.058443830570902,7.979462809917355,6.807180899908173,7.281695846798811,0.0,0.0,1.0,45.730000000000004,0.51,48201.0,,PurpleAir,in,January 2022,December 2024,967.0
-95.443855,29.70283,46237,,,3.841279926335175,,0.0,0.0,0.0,19.04,0.5666666666666667,48201.0,,PurpleAir,in,December 2023,December 2024,380.0
-95.39085,29.740562,47879,,9.24240506329114,8.951616161616162,,0.0,1.0,2.0,44.25666666666666,1.3599999999999999,48201.0,,PurpleAir,in,April 2023,December 2024,600.0
-95.13602,29.691015,50567,8.527129987129987,9.612786259541984,9.360648769574944,9.16685500541564,0.0,2.0,2.0,42.16,1.4166666666666665,48201.0,,PurpleAir,out,January 2022,December 2024,819.0
-95.48999,29.797358,51959,7.714963167587477,8.839373848987108,8.361573802541544,8.305303606372043,0.0,0.0,3.0,60.18000000000001,1.02,48201.0,,PurpleAir,in,January 2022,December 2024,1065.0
-95.42064,29.723648,56059,8.173851851851852,9.255764272559853,8.65930516431925,8.696307096243652,0.0,1.0,3.0,54.11666666666666,1.02,48201.0,,PurpleAir,in,January 2022,December 2024,1077.0
-95.61119,30.121622,96899,8.803370165745855,10.595414364640884,11.009914772727273,10.136233101038004,0.0,2.0,2.0,43.06666666666666,0.9633333333333334,48201.0,,PurpleAir,out,January 2022,December 2024,1076.0
-95.23209,29.743322,97279,10.157265193370165,11.921471984805317,12.11931796349664,11.399351713890708,1.0,3.0,5.0,61.596666666666664,1.5866666666666667,48201.0,,PurpleAir,out,January 2022,December 2024,1060.0
-95.69566,29.81888,98139,6.637513812154696,7.78352670349908,6.890960614793468,7.104000376815748,0.0,0.0,2.0,43.17999999999999,0.6233333333333333,48201.0,,PurpleAir,in,January 2022,December 2024,1071.0
-95.15422,29.705027,98633,9.422476979742173,,,,0.0,1.0,4.0,43.349999999999994,1.7566666666666664,48201.0,,PurpleAir,in,January 2022,December 2024,674.0
-95.28896,29.84179,99171,,11.487992633517496,10.960224719101122,,0.0,2.0,10.0,68.62333333333333,1.643333333333333,48201.0,,PurpleAir,out,October 2022,December 2024,805.0
-95.25296,29.737322,99797,9.84450276243094,11.482357274401474,10.14427516158818,10.490378399473531,0.0,3.0,6.0,64.77,1.4733333333333332,48201.0,,PurpleAir,out,January 2022,December 2024,1085.0
-95.04248,29.463194,116073,4.097532228360958,4.979309392265193,4.573608815426997,4.55015014535105,0.0,0.0,0.0,34.0,0.17,48167.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.280334,29.809729,127441,,8.280101851851851,8.49100529100529,,0.0,0.0,4.0,61.31333333333333,0.11333333333333334,48201.0,,PurpleAir,in,July 2022,December 2024,720.0
-95.35952,29.778414,127451,5.783439306358381,7.053484224965707,5.643291666666666,6.160071732663584,0.0,0.0,1.0,54.28666666666667,0.22666666666666668,48201.0,,PurpleAir,in,January 2022,December 2024,909.0
-95.30717,29.803877,127463,5.950871794871794,7.202569444444445,6.753086053412463,6.635509097576235,0.0,0.0,1.0,40.68666666666667,0.22666666666666668,48201.0,,PurpleAir,in,January 2022,December 2024,998.0
-95.46131,30.001331,127973,5.4765472312703585,6.883434622467772,7.02966573816156,6.463215863966563,0.0,0.0,1.0,39.49666666666667,0.22666666666666668,48201.0,,PurpleAir,in,February 2022,December 2024,1028.0
-95.368034,29.80605,127995,,6.257043235704324,5.272537313432836,,0.0,0.0,0.0,31.846666666666668,0.33999999999999997,48201.0,,PurpleAir,in,May 2022,December 2024,616.0
-95.1453,29.670757,128007,4.907543859649122,6.281792014856082,5.817777777777778,5.669037884094327,0.0,0.0,2.0,38.70333333333333,0.22666666666666668,48201.0,,PurpleAir,in,February 2022,December 2024,1045.0
-95.33349,29.741404,133994,4.499677716390424,5.501675874769798,5.434848484848485,5.145400692002902,0.0,0.0,2.0,44.879999999999995,0.17,48201.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.409004,29.799835,135062,7.798612191958496,9.348040345821326,8.625386243386243,8.590679593722022,0.0,1.0,5.0,67.66,1.19,48201.0,,PurpleAir,in,March 2022,December 2024,919.0
-95.10313,29.77624,148709,,11.179643916913946,10.393611111111111,,0.0,2.0,5.0,65.16666666666666,1.8133333333333335,48201.0,,PurpleAir,out,July 2022,December 2024,874.0
-95.42584,29.822277,155367,,9.854968847352024,9.842195945945946,,0.0,2.0,2.0,48.05333333333333,1.6433333333333335,48201.0,,PurpleAir,out,September 2022,December 2024,609.0
-95.45126,29.585194,161003,,,4.5375,,0.0,0.0,1.0,40.12,0.6799999999999999,48157.0,,PurpleAir,in,May 2024,December 2024,204.0
-95.52899,29.574024,161015,,,9.57692077727952,,0.0,1.0,3.0,46.46666666666667,1.5299999999999998,48157.0,,PurpleAir,out,May 2024,December 2024,223.0
-95.68345,29.55004,161141,,,8.179702564102564,,0.0,0.0,1.0,49.86666666666666,1.2466666666666668,48157.0,,PurpleAir,in,December 2023,December 2024,344.0
-95.584496,29.57438,161159,,,9.145963791267306,,0.0,1.0,6.0,67.83,0.7366666666666667,48157.0,,PurpleAir,out,November 2023,December 2024,368.0
-95.45273,30.023579,165203,,9.368416666666667,8.400404040404041,,0.0,1.0,4.0,39.27,0.7933333333333332,48201.0,,PurpleAir,in,October 2022,December 2024,807.0
-95.09357,29.801435,166381,,,9.893706896551723,,0.0,1.0,2.0,45.05,1.36,48201.0,,PurpleAir,out,June 2023,December 2024,487.0
-95.07921,29.79698,166391,,8.63130081300813,9.534430641821945,,0.0,1.0,3.0,40.29,1.8133333333333332,48201.0,,PurpleAir,out,June 2023,December 2024,527.0
-95.096,29.803095,166399,,,9.782697495183044,,0.0,1.0,1.0,42.72666666666666,1.4166666666666665,48201.0,,PurpleAir,out,June 2023,December 2024,524.0
-94.968155,29.763874,166413,,,9.412587064676618,,0.0,1.0,2.0,46.239999999999995,0.9633333333333334,48201.0,,PurpleAir,out,July 2023,December 2024,379.0
-95.283745,29.82794,166421,,,12.039745762711863,,1.0,1.0,5.0,49.92333333333333,2.833333333333333,48201.0,,PurpleAir,out,August 2023,December 2024,505.0
-95.00236,29.763205,166427,,8.07544502617801,,,0.0,0.0,1.0,37.96666666666667,1.4166666666666665,48201.0,,PurpleAir,in,June 2023,December 2024,348.0
-95.2333,29.74531,166435,,10.560649717514124,11.0736815920398,,0.0,2.0,5.0,93.5,1.4733333333333332,48201.0,,PurpleAir,out,May 2023,December 2024,571.0
-95.153625,29.776548,166441,,9.934910569105691,10.960394857667586,,0.0,2.0,3.0,45.9,2.55,48201.0,,PurpleAir,out,June 2023,December 2024,568.0
-95.693016,29.775267,173719,,8.142808988764045,8.116204986149585,,0.0,0.0,4.0,58.76333333333333,0.85,48201.0,,PurpleAir,in,January 2023,December 2024,717.0
-94.9781,30.0583,180145,,,3.686365663322185,,0.0,0.0,0.0,21.136666666666663,0.3966666666666666,48291.0,,PurpleAir,in,September 2023,December 2024,401.0
-95.30618,29.822308,181765,,,11.890636277302942,,0.0,1.0,6.0,49.98,1.8133333333333332,48201.0,,PurpleAir,out,May 2023,December 2024,440.0
-95.13781,29.777805,186271,,,11.990826291079811,,0.0,1.0,8.0,48.22333333333333,1.87,48201.0,,PurpleAir,out,October 2023,December 2024,443.0
-95.0665,29.81704,186277,,,11.041949860724234,,0.0,1.0,3.0,50.03666666666666,1.643333333333333,48201.0,,PurpleAir,out,November 2023,December 2024,404.0
-95.35113,29.781633,186303,,,11.0844618599791,,0.0,1.0,2.0,49.24333333333333,1.643333333333333,48201.0,,PurpleAir,out,February 2024,December 2024,319.0
-95.477104,29.708698,186315,,,10.214046948356808,,0.0,1.0,3.0,51.11333333333333,1.36,48201.0,,PurpleAir,out,July 2023,December 2024,518.0
-95.14891,29.79457,186327,,,11.103572796934865,,0.0,1.0,3.0,61.370000000000005,1.8133333333333332,48201.0,,PurpleAir,out,December 2023,December 2024,349.0
-95.358116,29.798594,191215,,,11.396790633608815,,0.0,1.0,4.0,45.33333333333333,2.2666666666666666,48201.0,,PurpleAir,out,August 2023,December 2024,391.0
-95.48181,30.094578,194469,,,9.775236768802229,,0.0,1.0,2.0,85.11333333333333,0.7366666666666666,48201.0,,PurpleAir,out,October 2023,December 2024,428.0
-95.50417,30.176702,199057,,,10.574700374531835,,0.0,1.0,2.0,45.163333333333334,0.85,48339.0,,PurpleAir,out,November 2023,December 2024,394.0
-95.03727,29.5832,208397,,,8.626491228070176,,0.0,0.0,2.0,41.99,1.1333333333333333,48201.0,,PurpleAir,in,February 2024,December 2024,323.0
-95.354974,28.964394,480391012,,7.5125,7.746666666666667,,0.0,0.0,0.0,21.0,0.8,39.0,Brazoria,EPA,in,January 2023,June 2024,86.0
-94.861289,29.254474,481671034,7.995086705202312,9.771337579617834,7.080379746835443,8.282268010551864,0.0,1.0,3.0,50.9,0.1,167.0,Galveston,EPA,in,January 2018,December 2024,2289.0
-95.326137,29.901036,482010024,10.186233766233766,10.380678851174936,10.792732558139534,10.453215058516076,0.0,7.0,4.0,42.9,0.0,201.0,Harris,EPA,out,January 2018,December 2024,2671.0
-95.284096,29.828086,482010046,11.772159090909092,13.032551319648094,12.473571428571429,12.426093946376204,3.0,4.0,3.0,44.7,-0.8,201.0,Harris,EPA,out,May 2021,December 2024,1201.0
-95.499219,29.695729,482010055,9.45848214285714,10.837709497206705,10.641993957703928,10.312728532589258,0.0,3.0,2.0,40.7,2.7,201.0,Harris,EPA,out,April 2022,December 2024,913.0
-95.031232,29.770698,482010058,10.496078431372547,11.510028653295128,10.460377358490566,10.822161481052747,0.0,6.0,4.0,50.2,-0.1,201.0,Harris,EPA,out,January 2018,December 2024,2418.0
-95.635833,29.723333,482010066,8.035483870967742,9.41608187134503,9.116975308641976,8.85618035031825,0.0,2.0,3.0,43.6,-0.3,201.0,Harris,EPA,out,January 2021,December 2024,1269.0
-95.220582,29.767997,482011034,9.786167146974064,10.613636363636363,10.076323987538942,10.158709166049787,0.0,7.0,6.0,47.4,0.0,201.0,Harris,EPA,out,January 2018,December 2024,2395.0
-95.257593,29.733726,482011035,10.622435897435896,11.320558375634516,11.176190476190476,11.039728249753631,0.0,7.0,13.0,46.7,1.6,201.0,Harris,EPA,out,January 2018,July 2024,5007.0
-95.128508,29.670025,482011039,8.709417040358744,9.787113402061856,10.036666666666669,9.51106570302909,0.0,2.0,8.0,47.7,-0.8,201.0,Harris,EPA,out,January 2018,June 2024,3686.0
-95.015544,29.583047,482011050,8.436389684813754,8.641111111111112,7.800588235294117,8.292696343739662,0.0,0.0,1.0,45.6,1.4,201.0,Harris,EPA,in,January 2018,December 2024,2345.0
-95.38769,29.81453,482011052,11.252023121387282,12.416519174041298,11.867378048780488,11.845306781403025,1.0,7.0,5.0,44.2,0.9,201.0,Harris,EPA,out,January 2018,December 2024,1622.0
-95.425128,30.350302,483390078,9.688252148997137,10.187777777777775,12.088338192419826,10.654789373064911,1.0,4.0,5.0,39.7,-0.1,339.0,Montgomery,EPA,out,January 2018,December 2024,2351.0
