longitude,latitude,site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,cnty_fips,county,monitor_type,compliance_2024,min_date,max_date,daily_cnt
-95.07647,29.532282,2386,5.786187845303867,6.8196132596685075,6.274792243767313,6.293531116246562,0.0,0.0,0.0,33.5,0.8,48167.0,,PurpleAir,in,January 2022,December 2024,1085.0
-95.73739,29.955063,3033,6.338904494382023,7.884944751381215,6.998480662983425,7.074109969582221,0.0,0.0,0.0,34.099999999999994,1.15,48201.0,,PurpleAir,in,January 2022,December 2024,1080.0
-95.12009,29.58335,3298,7.502486187845304,8.719060773480663,8.242011019283746,8.154519326869904,0.0,0.0,2.0,40.9,1.15,48201.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.70764,29.762896,3777,5.8755524861878445,7.987845303867403,7.396764705882354,7.086720831979201,0.0,0.0,3.0,43.95,0.7,48201.0,,PurpleAir,in,January 2022,December 2024,1064.0
-95.30876,29.71706,6752,7.026249999999999,7.4840277777777775,6.616522988505747,7.042266922094508,0.0,0.0,1.0,36.650000000000006,1.05,48201.0,,PurpleAir,in,January 2022,December 2024,1068.0
-95.494644,30.053808,25999,7.363535911602209,8.47389502762431,9.831092436974789,8.55617445873377,0.0,1.0,5.0,76.75,0.85,48201.0,,PurpleAir,out,January 2022,December 2024,1081.0
-95.370056,29.77074,27821,2.6654696132596682,3.059714285714286,3.2009859154929576,2.975389938155637,0.0,0.0,0.0,18.0,0.39999999999999997,48201.0,,PurpleAir,in,January 2022,December 2024,1067.0
-95.113846,29.790651,27905,7.301795580110498,6.5529005524861885,5.22078488372093,6.3584936721058725,0.0,0.0,1.0,40.45,0.85,48201.0,,PurpleAir,in,January 2022,December 2024,1068.0
-95.585686,29.73305,28851,6.510773480662984,7.508425414364641,7.160330578512396,7.059843157846674,0.0,0.0,2.0,42.25,0.8500000000000001,48201.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.74033,29.557081,30593,5.783977900552487,6.7569060773480665,4.967768595041322,5.836217524313959,0.0,0.0,0.0,34.7,0.5,48157.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.37274,29.78264,31163,6.22803867403315,7.040702479338843,6.006336088154271,6.425025747175421,0.0,0.0,1.0,40.35,0.45,48201.0,,PurpleAir,in,January 2022,December 2024,967.0
-95.443855,29.70283,46237,,,3.389364640883978,,0.0,0.0,0.0,16.8,0.5,48201.0,,PurpleAir,in,December 2023,December 2024,380.0
-95.39085,29.740562,47879,,8.155063291139241,7.898484848484848,,0.0,0.0,1.0,39.05,1.2,48201.0,,PurpleAir,in,April 2023,December 2024,600.0
-95.13602,29.691015,50567,7.523938223938224,8.481870229007633,8.259395973154364,8.088401475366739,0.0,0.0,1.0,37.2,1.25,48201.0,,PurpleAir,in,January 2022,December 2024,819.0
-95.48999,29.797358,51959,6.80732044198895,7.799447513812155,7.377859237536657,7.328209064445921,0.0,0.0,2.0,53.1,0.9,48201.0,,PurpleAir,in,January 2022,December 2024,1065.0
-95.42064,29.723648,56059,7.2122222222222225,8.166850828729283,7.640563380281691,7.673212143744398,0.0,0.0,2.0,47.75,0.9,48201.0,,PurpleAir,in,January 2022,December 2024,1077.0
-95.61119,30.121622,96899,7.76767955801105,9.34889502762431,9.714630681818182,8.94373508915118,0.0,2.0,1.0,38.0,0.8500000000000001,48201.0,,PurpleAir,out,January 2022,December 2024,1076.0
-95.23209,29.743322,97279,8.962292817679558,10.518945868945869,10.693515850144092,10.058251512256506,0.0,2.0,3.0,54.35,1.4,48201.0,,PurpleAir,out,January 2022,December 2024,1060.0
-95.69566,29.81888,98139,5.856629834254143,6.867817679558011,6.080259365994236,6.26823562660213,0.0,0.0,2.0,38.099999999999994,0.55,48201.0,,PurpleAir,in,January 2022,December 2024,1071.0
-95.15422,29.705027,98633,8.313950276243094,,,,0.0,0.0,1.0,38.25,1.5499999999999998,48201.0,,PurpleAir,in,January 2022,December 2024,674.0
-95.28896,29.84179,99171,,10.13646408839779,9.670786516853934,,0.0,2.0,5.0,60.55,1.45,48201.0,,PurpleAir,out,October 2022,December 2024,805.0
