site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,min_date,max_date,daily_cnt,cnty_fips,cnty_nm,latitude,longitude,location_type,sensor_created_date,county,compliance_2024,monitor_type
2386,6.55767955801105,7.72889502762431,7.111431209602954,7.132668598412772,0.0,0.0,2.0,37.96666666666667,0.9066666666666668,January 2022,December 2024,1085.0,48167.0,Galveston,29.532282,-95.07647,0.0,2017-07-31 20:17:54,Galveston,in,PurpleAir
3033,7.232625118035883,9.185047892720306,9.415743145743146,8.611138718833113,0.0,2.0,1.0,38.64666666666666,1.6433333333333335,January 2022,November 2024,932.0,48201.0,Harris,29.955063,-95.73739,0.0,2017-08-23 17:30:17,Harris,out,PurpleAir
3298,8.50281767955801,9.88160220994475,9.340945821854913,9.241788570452558,0.0,2.0,4.0,46.35333333333333,1.3033333333333332,January 2022,December 2024,1087.0,48201.0,Harris,29.58335,-95.12009,0.0,2017-09-13 22:31:13,Harris,out,PurpleAir
3777,6.679303201506592,9.09705772811918,8.383,8.053120309875256,0.0,1.0,4.0,49.81,0.7933333333333332,January 2022,December 2024,1052.0,48201.0,Harris,29.762896,-95.70764,0.0,2017-10-06 19:15:54,Harris,in,PurpleAir
6752,7.9630833333333335,8.481898148148147,7.498726053639848,7.981235845040442,0.0,0.0,2.0,41.53666666666667,1.19,January 2022,December 2024,1068.0,48201.0,Harris,29.71706,-95.30876,0.0,2018-01-30 20:02:52,Harris,in,PurpleAir
25999,8.369795037756202,9.728333333333333,11.146413145539906,9.748180505543148,0.0,2.0,6.0,86.98333333333332,0.9633333333333332,January 2022,December 2024,1004.0,48201.0,Harris,30.053808,-95.494644,0.0,2019-02-04 18:20:00,Harris,out,PurpleAir
27905,8.294898148148148,7.42159217877095,5.982932900432901,7.2331410757839985,0.0,0.0,1.0,45.843333333333334,1.02,January 2022,December 2024,1026.0,48201.0,Harris,29.790651,-95.113846,0.0,2019-03-04 15:23:33,Harris,in,PurpleAir
28851,7.378876611418048,8.522730696798494,8.125152354570636,8.008919887595725,0.0,0.0,3.0,47.88333333333333,0.9633333333333334,January 2022,December 2024,1077.0,48201.0,Harris,29.73305,-95.585686,0.0,2019-03-14 16:22:44,Harris,in,PurpleAir
30593,6.555174953959485,7.673676880222841,,,0.0,0.0,2.0,39.32666666666667,0.9066666666666666,January 2022,July 2024,895.0,48157.0,Fort Bend,29.557081,-95.74033,0.0,2019-04-17 15:02:37,Fort Bend,in,PurpleAir
31163,7.078949379178606,8.085161744022503,6.932550724637681,7.365553949279597,0.0,0.0,1.0,45.73,0.85,January 2022,October 2024,816.0,48201.0,Harris,29.78264,-95.37274,0.0,2019-05-01 16:20:13,Harris,in,PurpleAir
47879,,9.24240506329114,8.951616161616162,,0.0,1.0,2.0,44.25666666666666,1.36,April 2023,December 2024,600.0,48201.0,Harris,29.740562,-95.39085,0.0,2020-02-03 20:02:54,Harris,in,PurpleAir
50567,8.527129987129987,9.612786259541984,9.360648769574944,9.16685500541564,0.0,2.0,2.0,42.16,1.4166666666666663,January 2022,December 2024,819.0,48201.0,Harris,29.691015,-95.13602,0.0,2020-03-20 14:31:30,Harris,out,PurpleAir
51959,7.714963167587477,8.839373848987108,8.361573802541544,8.305303606372043,0.0,0.0,3.0,60.18000000000001,1.02,January 2022,December 2024,1065.0,48201.0,Harris,29.797358,-95.48999,0.0,2020-04-09 21:09:22,Harris,in,PurpleAir
56059,8.173851851851852,9.255764272559853,8.65930516431925,8.696307096243652,0.0,1.0,3.0,54.11666666666666,1.02,January 2022,December 2024,1077.0,48201.0,Harris,29.723648,-95.42064,0.0,2020-05-20 19:28:57,Harris,in,PurpleAir
96899,8.803370165745855,10.595414364640884,10.953019047619048,10.117267859335263,0.0,2.0,2.0,43.06666666666666,0.9633333333333334,January 2022,December 2024,1074.0,48201.0,Harris,30.121622,-95.61119,0.0,2020-12-29 21:57:10,Harris,out,PurpleAir
97279,10.157265193370165,11.945819047619048,12.319871414441145,11.47431855181012,1.0,3.0,5.0,61.596666666666664,1.586666666666667,January 2022,December 2024,1049.0,48201.0,Harris,29.743322,-95.23209,0.0,2021-01-13 16:52:44,Harris,out,PurpleAir
