site_id,avg_2022_adj,avg_2022_unadj,avg_2023_adj,avg_2023_unadj,avg_2024_adj,avg_2024_unadj,avg2022_24_adj,avg2022_24_unadj,yrs_over12_adj,yrs_over12_unadj,yrs_over9_adj,yrs_over9_unadj,over35_adj,over35_unadj,max_read_adj,max_read_unadj,min_read_adj,min_read_unadj,min_date_adj,max_date_adj,daily_cnt_adj,cnty_nm_adj
2386,6.55767955801105,5.786187845303867,7.72889502762431,6.8196132596685075,7.111431209602954,6.274792243767313,7.132668598412772,6.293531116246562,0.0,0.0,0.0,0.0,2.0,0.0,37.96666666666667,33.5,0.9066666666666667,0.8,January 2022,December 2024,1085.0,Galveston
3033,7.184091760299625,6.338904494382023,8.936270718232043,7.884944751381215,7.931611418047882,6.998480662983425,8.017324632193183,7.074109969582221,0.0,0.0,0.0,0.0,1.0,0.0,38.64666666666666,34.099999999999994,1.3033333333333332,1.15,January 2022,December 2024,1080.0,Harris
3298,8.50281767955801,7.502486187845304,9.88160220994475,8.719060773480663,9.340945821854913,8.242011019283746,9.241788570452558,8.154519326869904,0.0,0.0,2.0,0.0,4.0,2.0,46.35333333333333,40.9,1.3033333333333332,1.15,January 2022,December 2024,1087.0,Harris
3777,6.658959484346225,5.8755524861878445,9.052891344383056,7.987845303867403,8.383,7.396764705882354,8.031616942909759,7.086720831979201,0.0,0.0,1.0,0.0,4.0,3.0,49.81,43.95,0.7933333333333332,0.7,January 2022,December 2024,1064.0,Harris
6752,7.9630833333333335,7.026249999999999,8.481898148148147,7.4840277777777775,7.498726053639848,6.616522988505747,7.981235845040442,7.042266922094508,0.0,0.0,0.0,0.0,2.0,1.0,41.53666666666667,36.650000000000006,1.19,1.05,January 2022,December 2024,1068.0,Harris
25999,8.345340699815837,7.363535911602209,9.603747697974217,8.47389502762431,11.141904761904762,9.831092436974789,9.696997719898272,8.55617445873377,0.0,0.0,2.0,1.0,6.0,5.0,86.98333333333332,76.75,0.9633333333333333,0.85,January 2022,December 2024,1081.0,Harris
27821,3.0208655616942908,2.6654696132596682,3.46767619047619,3.059714285714286,3.627784037558685,3.2009859154929576,3.3721085965763886,2.975389938155637,0.0,0.0,0.0,0.0,0.0,0.0,20.4,18.0,0.45333333333333325,0.39999999999999997,January 2022,December 2024,1067.0,Harris
27905,8.27536832412523,7.301795580110498,7.426620626151013,6.5529005524861885,5.916889534883721,5.22078488372093,7.206292828386654,6.3584936721058725,0.0,0.0,0.0,0.0,1.0,1.0,45.843333333333334,40.45,0.9633333333333333,0.85,January 2022,December 2024,1068.0,Harris
28851,7.378876611418048,6.510773480662984,8.509548802946593,7.508425414364641,8.115041322314049,7.160330578512396,8.001155578892897,7.059843157846674,0.0,0.0,0.0,0.0,3.0,2.0,47.88333333333333,42.25,0.9633333333333334,0.8500000000000001,January 2022,December 2024,1087.0,Harris
30593,6.555174953959485,5.783977900552487,7.657826887661141,6.7569060773480665,5.630137741046832,4.967768595041322,6.614379860889152,5.836217524313959,0.0,0.0,0.0,0.0,2.0,0.0,39.32666666666667,34.7,0.5666666666666667,0.5,January 2022,December 2024,1087.0,Fort Bend
