"State Name","County Name","CBSA Name","CSA Name","2012 Annual PM2.5 NAAQS Designated Area","1997 Annual PM2.5 NAAQS Designated Area","EPA Region","AQS Site ID","Local Site Name","Street Address","Site Latitude","Site Longitude","2013-2015     Annual      Design Value (µg/m3) [1,2]","2014-2016     Annual      Design Value (µg/m3) [1,2]","2015-2017     Annual      Design Value (µg/m3) [1,2]","2016-2018     Annual      Design Value (µg/m3) [1,2]","2017-2019     Annual      Design Value (µg/m3) [1,2]","2018-2020     Annual      Design Value (µg/m3) [1,2]","2019-2021     Annual      Design Value (µg/m3) [1,2]","2020-2022     Annual      Design Value (µg/m3) [1,2]","2021-2023     Annual      Design Value (µg/m3) [1,2]","2022-2024     Annual      Design Value (µg/m3) [1,2]","compliance"
"Texas","Galveston","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"481671034","Galveston 99th Street","9511 Avenue V 1/2",29.254474,-94.861289,,7.4,6.7,6.6,7,7.7,7.7,7.9,8.3,,
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482010024","Houston Aldine","4510 1/2 Aldine Mail Rd",29.901036,-95.326137,11.1,10.8,10,9.4,9.4,9.8,9.9,10,10.2,10.5,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482010046","Houston North Wayside","7330 1/2 North Wayside",29.828086,-95.284096,,,,,,,,,12.5,12.7,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482010055","Houston Bayland Park","6400 Bissonnet Street",29.695729,-95.499219,,,,,,,,,,10.4,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482010058","Baytown","7210 1/2 Bayway Drive",29.770698,-95.031232,9.9,9.7,9.4,9.3,9.2,9.3,9.5,10.1,10.5,10.6,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482010066","Houston Westhollow","3333 1/2 Hwy 6 South",29.723333,-95.635833,,,,,,,,,,8.9,"in"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482011034","Houston East","1262 1/2 Mae Drive",29.767997,-95.220582,,,,,10.5,10.3,10.2,10.2,10.4,10.3,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482011035","Clinton","9525 1/2 Clinton Dr",29.733726,-95.257593,11.6,11.2,10.7,10.2,10.3,10.4,10.4,10.4,10.7,10.8,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482011039","Houston Deer Park #2","4514 1/2 Durant Street",29.670025,-95.128508,9.6,9.2,8.6,8.2,8,8.4,8.4,8.7,8.9,9.2,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482011050","Seabrook Friendship Park","4522 Park Rd",29.583047,-95.015544,,,,,,,,,,8.3,"out"
"Texas","Harris","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"482011052","Houston North Loop","822 North Loop",29.81453,-95.38769,,,10.8,9.9,9.9,10.6,11.1,11.4,11.7,11.9,"out"
"Texas","Montgomery","Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands, TX"," "," ",6,"483390078","Conroe Relocated","9472a Hwy 1484",30.350302,-95.425128,,,,,,,,,,10.7,"out"
