time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1651104000,4.5,,2386
1647648000,0.9,,2386
1661644800,2.2,,2386
1644105600,9.9,,2386
1691020800,5.6,,2386
1676851200,5.3,,2386
1696809600,4.6,,2386
1697155200,3.6,,2386
1645660800,13.4,,2386
1702166400,1.7,,2386
1659571200,5.0,,2386
1677888000,6.9,,2386
1692662400,3.1,,2386
1656460800,10.9,,2386
1674086400,2.8,,2386
1670284800,2.8,,2386
1671667200,15.5,,2386
1648771200,5.1,,2386
1703289600,5.3,,2386
1697587200,6.2,,2386
1697932800,4.1,,2386
1685664000,12.2,,2386
1671148800,2.5,,2386
1684281600,6.6,,2386
1648944000,6.4,,2386
1661472000,6.8,,2386
1697328000,1.6,,2386
1679702400,9.6,,2386
1703376000,1.6,,2386
1649721600,9.3,,2386
1698883200,4.3,,2386
1648166400,2.3,,2386
1646611200,5.2,,2386
1665878400,5.5,,2386
1668988800,4.6,,2386
1659052800,1.9,,2386
1641945600,3.5,,2386
1671840000,1.5,,2386
1687219200,7.6,,2386
1650931200,3.9,,2386
1665705600,8.8,,2386
1656115200,5.6,,2386
1652486400,3.5,,2386
1687651200,3.4,,2386
1687305600,7.0,,2386
1685318400,6.7,,2386
1684627200,17.6,,2386
1666051200,3.5,,2386
1693526400,14.8,,2386
1660176000,6.4,,2386
1641686400,7.5,,2386
1687478400,10.4,,2386
1667606400,3.5,,2386
1683072000,5.2,,2386
1699747200,12.9,,2386
1666656000,2.2,,2386
1642377600,11.1,,2386
1690416000,5.7,,2386
1689897600,4.2,,2386
1642982400,6.3,,2386
1650067200,8.9,,2386
1664841600,5.9,,2386
1685491200,7.5,,2386
1678060800,18.1,,2386
1644883200,4.2,,2386
1691971200,5.6,,2386
1692748800,3.0,,2386
1703808000,4.3,,2386
1690934400,4.1,,2386
1641340800,3.5,,2386
1643328000,7.0,,2386
1689984000,3.8,,2386
1641859200,1.2,,2386
1693612800,12.8,,2386
1700265600,11.9,,2386
1666828800,5.9,,2386
1693180800,12.5,,2386
1690502400,5.5,,2386
1641513600,7.5,,2386
1678406400,17.3,,2386
1645401600,8.3,,2386
1643155200,6.7,,2386
1682899200,4.0,,2386
1702598400,12.6,,2386
1686441600,4.2,,2386
1646784000,5.2,,2386
1648512000,3.6,,2386
1697673600,2.4,,2386
1698105600,2.4,,2386
1651795200,5.8,,2386
1670457600,9.4,,2386
1699833600,9.1,,2386
1681689600,3.4,,2386
1644192000,7.9,,2386
1688342400,7.9,,2386
1649376000,2.1,,2386
1680307200,11.6,,2386
1646697600,4.6,,2386
1678233600,14.5,,2386
1675209600,4.3,,2386
1652918400,5.5,,2386
1653609600,3.6,,2386
1664064000,6.4,,2386
1648425600,2.5,,2386
1685836800,4.5,,2386
1679270400,3.3,,2386
