time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1653436800,2.3,2.6,31163
1652140800,4.7,5.0,31163
1703980800,4.5,3.7,31163
1650672000,3.6,3.8,31163
1659398400,2.7,2.8,31163
1656633600,3.6,3.8,31163
1675382400,5.7,3.5,31163
1687219200,7.7,7.6,31163
1665964800,7.5,8.0,31163
1683158400,7.0,6.2,31163
1669075200,6.1,3.9,31163
1642550400,4.5,4.1,31163
1670371200,6.1,6.4,31163
1687392000,7.9,7.4,31163
1647475200,3.7,3.2,31163
1664755200,10.4,11.0,31163
1686960000,13.8,14.5,31163
1657843200,4.7,5.0,31163
1671321600,11.2,6.2,31163
1655164800,5.7,6.1,31163
1689552000,6.5,6.5,31163
1691193600,6.3,7.1,31163
1667779200,6.2,6.4,31163
1661472000,6.9,7.1,31163
1651017600,3.6,3.8,31163
1687996800,4.2,4.1,31163
1663545600,3.6,3.8,31163
1670889600,8.1,8.4,31163
1647820800,4.3,3.3,31163
1679011200,4.1,2.8,31163
1691020800,5.3,5.3,31163
1685491200,9.5,8.9,31163
1680652800,8.8,7.7,31163
1672531200,19.4,14.5,31163
1659225600,4.4,4.6,31163
1686614400,4.4,4.2,31163
1649203200,18.9,20.0,31163
1685923200,8.7,8.0,31163
1644019200,4.8,2.9,31163
1656806400,4.1,4.3,31163
1675987200,7.8,5.2,31163
1643414400,7.1,4.7,31163
1683936000,8.1,7.0,31163
1650844800,4.8,5.1,31163
1641513600,9.4,6.7,31163
1690848000,4.2,4.5,31163
1685318400,7.6,7.1,31163
1643587200,2.6,2.0,31163
1645056000,7.0,7.2,31163
1673827200,7.7,5.8,31163
1643673600,5.1,3.8,31163
1678060800,17.5,13.9,31163
1690934400,3.7,4.0,31163
1648512000,3.7,3.8,31163
1676851200,5.0,3.7,31163
1680912000,4.4,3.1,31163
1651622400,8.0,8.7,31163
1675814400,4.9,3.7,31163
1679875200,15.7,12.5,31163
1678233600,16.7,14.0,31163
1664668800,9.8,10.3,31163
1687305600,8.1,8.4,31163
1685836800,4.8,4.4,31163
1666483200,1.1,1.2,31163
1644192000,10.6,7.5,31163
1652745600,4.7,5.0,31163
1690588800,5.4,5.4,31163
1650585600,4.8,5.1,31163
1668988800,6.3,3.8,31163
1683331200,13.5,13.8,31163
1667174400,9.6,8.6,31163
1665273600,14.9,15.7,31163
1692057600,4.2,4.5,31163
1655769600,9.6,10.1,31163
1671235200,3.1,1.8,31163
1651363200,8.3,8.8,31163
1668729600,5.5,3.6,31163
1672444800,9.5,6.4,31163
1664928000,10.2,10.8,31163
1654732800,11.4,12.3,31163
1645142400,4.3,2.8,31163
1665619200,4.2,4.6,31163
1690675200,4.2,4.3,31163
1685664000,11.4,11.0,31163
1703894400,0.9,0.0,31163
1648166400,2.7,2.3,31163
1669766400,8.6,9.0,31163
1643846400,3.1,2.8,31163
1691625600,6.4,6.1,31163
1658275200,4.7,4.8,31163
1667433600,9.1,9.4,31163
1683244800,16.5,17.1,31163
1651104000,5.1,5.4,31163
1685145600,19.9,19.5,31163
1685750400,8.5,8.4,31163
1657929600,3.6,3.9,31163
1658361600,6.1,6.4,31163
1656547200,5.5,5.8,31163
1693267200,8.4,8.6,31163
1652486400,4.4,4.6,31163
1687651200,3.4,3.3,31163
1673481600,3.6,2.6,31163
1674864000,4.5,3.3,31163
1674518400,4.2,2.6,31163
1673740800,3.5,2.3,31163
1642032000,9.0,6.8,31163
1655942400,2.3,2.4,31163
1666915200,9.6,9.6,31163
1660694400,3.5,3.6,31163
1687046400,5.9,5.7,31163
1651708800,6.8,7.4,31163
1656201600,8.8,9.0,31163
1664236800,4.3,4.5,31163
1671753600,2.0,0.8,31163
1653091200,10.8,11.5,31163
1683763200,7.8,7.0,31163
1661299200,3.7,3.9,31163
1670198400,9.2,9.7,31163
1655424000,5.9,6.4,31163
1681689600,4.3,3.3,31163
1652227200,7.3,7.8,31163
1680739200,4.0,2.8,31163
1665014400,12.3,13.0,31163
1661904000,5.6,5.9,31163
1644883200,7.1,5.0,31163
1648339200,2.0,2.1,31163
1683590400,8.1,6.8,31163
1674086400,3.8,2.8,31163
1692835200,4.9,5.7,31163
1682553600,8.1,6.5,31163
1649376000,2.1,2.0,31163
1660780800,2.9,3.0,31163
1651795200,6.5,7.3,31163
1685404800,7.5,7.0,31163
1679702400,9.3,7.7,31163
1670544000,8.7,9.2,31163
1649980800,5.3,5.5,31163
1652313600,5.4,5.8,31163
1663200000,11.1,11.7,31163
1681171200,5.1,4.0,31163
1674691200,9.1,5.5,31163
1659139200,3.6,3.8,31163
1658880000,3.4,3.6,31163
1643932800,6.4,3.2,31163
1678492800,11.7,9.9,31163
1656374400,9.7,10.2,31163
1656979200,5.7,6.0,31163
1645920000,3.3,2.2,31163
1692489600,4.2,4.6,31163
1662249600,8.4,8.7,31163
1647216000,2.7,2.3,31163
1673654400,10.9,6.7,31163
1643500800,3.4,2.4,31163
1693353600,10.9,11.6,31163
1672876800,10.0,6.9,31163
1680220800,8.6,7.7,31163
1645488000,9.6,9.7,31163
1646438400,7.3,7.5,31163
1652918400,6.0,6.4,31163
1664409600,7.0,7.4,31163
1682640000,6.3,5.3,31163
1681862400,3.4,3.0,31163
1659657600,6.4,6.7,31163
1646956800,12.6,9.8,31163
1689811200,5.1,5.1,31163
1650153600,10.4,11.0,31163
1684627200,17.7,15.8,31163
1641772800,4.7,3.9,31163
1668902400,7.1,4.1,31163
1671062400,3.1,2.3,31163
1658188800,3.1,3.2,31163
1657411200,2.2,2.4,31163
1689206400,3.3,3.2,31163
1652832000,5.3,5.6,31163
1642291200,4.0,2.6,31163
1668384000,6.5,4.2,31163
1665100800,11.5,12.1,31163
1662940800,13.6,14.5,31163
1661126400,4.9,5.0,31163
1665446400,8.6,9.2,31163
1682208000,4.0,3.0,31163
1659744000,6.1,6.4,31163
1644278400,5.5,3.8,31163
1649721600,9.9,10.3,31163
1685059200,15.7,15.6,31163
1691539200,5.6,5.4,31163
1641168000,2.7,1.9,31163
1680048000,7.9,5.7,31163
1664323200,6.2,6.5,31163
1681776000,3.6,2.9,31163
1642723200,2.0,1.3,31163
1672185600,11.6,6.8,31163
1687910400,3.5,3.5,31163
1677888000,11.4,8.5,31163
1655596800,3.8,4.1,31163
1672617600,10.0,10.3,31163
1676073600,4.0,2.4,31163
1653004800,13.6,14.5,31163
1657497600,3.1,3.3,31163
1646870400,7.9,6.0,31163
1664496000,5.0,5.3,31163
1643328000,6.6,4.7,31163
1691712000,3.4,3.5,31163
1662681600,12.7,13.4,31163
1692576000,5.2,5.5,31163
1669680000,13.9,13.6,31163
1663113600,10.1,10.7,31163
1686441600,3.9,3.8,31163
1673568000,2.4,1.6,31163
1669334400,2.9,3.2,31163
1666137600,2.5,1.7,31163
1658966400,3.5,3.6,31163
1657584000,6.2,6.6,31163
1679616000,8.5,7.4,31163
1680393600,11.4,10.1,31163
1669593600,8.6,6.8,31163
1649030400,7.5,7.8,31163
1681084800,4.1,3.1,31163
1665878400,4.8,5.0,31163
1651276800,6.1,6.3,31163
1676419200,13.7,10.1,31163
1666224000,3.2,2.6,31163
1689984000,4.8,4.8,31163
1658016000,6.3,6.8,31163
1689465600,7.7,7.7,31163
1683676800,4.1,3.3,31163
1680480000,12.6,11.9,31163
1691107200,2.8,2.9,31163
1674950400,5.5,5.7,31163
1647043200,3.2,2.0,31163
1683417600,12.1,10.2,31163
1662595200,10.0,10.5,31163
1670284800,3.0,3.2,31163
1686182400,7.6,7.0,31163
1656892800,5.3,5.5,31163
1687824000,4.0,4.0,31163
1681948800,4.8,4.0,31163
1689724800,4.3,4.3,31163
1641254400,10.5,7.5,31163
1688169600,4.1,3.9,31163
1680307200,9.7,9.3,31163
1684713600,21.3,19.6,31163
1662422400,1.7,1.8,31163
1660348800,11.3,12.0,31163
1668211200,2.2,1.6,31163
1655510400,8.4,9.2,31163
1670457600,10.3,10.9,31163
1678320000,18.4,15.2,31163
1654387200,9.1,9.8,31163
1640995200,9.9,10.0,31163
1642636800,6.5,4.8,31163
1690243200,3.0,3.1,31163
1656115200,11.6,12.2,31163
1643155200,8.4,5.6,31163
1653177600,5.5,6.0,31163
1674777600,10.3,6.2,31163
1649894400,4.5,4.8,31163
1666569600,2.0,2.1,31163
1658102400,4.9,5.1,31163
1691971200,4.9,4.9,31163
1641081600,7.4,6.8,31163
1667088000,6.9,5.9,31163
1681344000,6.6,5.4,31163
1663632000,3.8,4.0,31163
1644710400,3.1,2.1,31163
1675728000,3.4,2.5,31163
1671408000,2.6,1.4,31163
1646611200,5.2,5.0,31163
1682294400,4.1,3.1,31163
1667520000,5.1,5.2,31163
1666828800,7.0,5.9,31163
1653868800,3.4,3.7,31163
1669248000,11.4,12.0,31163
1641686400,7.4,7.5,31163
1642464000,3.2,2.4,31163
1690761600,4.0,4.4,31163
1688860800,2.7,2.7,31163
1686009600,13.6,12.0,31163
1672704000,7.0,7.3,31163
1693180800,8.0,8.1,31163
1678406400,14.9,12.5,31163
1691280000,3.2,3.2,31163
1682467200,10.8,8.7,31163
1644364800,4.7,3.5,31163
1665792000,8.1,8.6,31163
1689033600,4.4,4.3,31163
1693440000,12.7,13.1,31163
1671148800,5.6,3.4,31163
1690329600,4.9,5.1,31163
1686700800,12.5,12.2,31163
1688342400,7.0,6.8,31163
1681257600,5.9,4.7,31163
1688774400,2.9,2.9,31163
1673395200,7.3,5.2,31163
1650931200,3.7,4.2,31163
1686787200,13.4,13.4,31163
1648252800,4.2,4.0,31163
1692748800,3.5,3.8,31163
1691798400,4.4,4.5,31163
1662076800,9.9,10.4,31163
1641859200,2.1,1.5,31163
1657065600,3.7,3.9,31163
1657324800,2.3,2.5,31163
1682899200,6.7,5.8,31163
1665532800,5.3,5.6,31163
1645574400,9.6,8.5,31163
1656460800,10.4,11.0,31163
1690502400,5.3,5.3,31163
1644537600,6.3,5.0,31163
1660521600,5.0,5.2,31163
1684195200,6.3,5.7,31163
1680998400,6.7,5.4,31163
1687564800,4.3,3.9,31163
1666051200,3.2,3.0,31163
1660953600,3.1,3.2,31163
1651881600,11.7,12.9,31163
1655337600,7.9,8.7,31163
1665187200,14.9,15.7,31163
1693008000,9.1,9.4,31163
1675468800,10.7,6.6,31163
1677456000,10.8,9.1,31163
1654473600,3.8,4.0,31163
1673913600,17.7,13.8,31163
1689638400,5.3,5.1,31163
1648598400,4.8,5.0,31163
1668470400,3.0,1.8,31163
1653955200,2.7,2.8,31163
1668297600,4.1,2.6,31163
1652054400,8.0,8.5,31163
1675123200,3.8,2.0,31163
1684972800,16.2,14.9,31163
1681430400,3.0,2.5,31163
1677801600,5.4,4.4,31163
1669939200,5.7,4.5,31163
1678924800,6.5,4.7,31163
1671667200,19.1,10.6,31163
1692316800,2.9,3.2,31163
1670976000,4.0,4.2,31163
1676937600,6.9,5.9,31163
1668124800,3.5,3.7,31163
1660608000,3.7,3.8,31163
1648425600,2.3,2.5,31163
1691452800,4.6,4.4,31163
1668556800,5.7,3.3,31163
1667692800,4.5,4.8,31163
1644105600,11.9,7.9,31163
1645401600,9.8,7.9,31163
1681516800,8.1,8.6,31163
1653609600,3.3,3.6,31163
1670803200,10.2,10.6,31163
1652572800,4.2,4.5,31163
1647302400,2.8,2.8,31163
1651190400,3.3,3.5,31163
1677110400,18.2,15.6,31163
1648771200,5.5,5.1,31163
1663372800,5.3,5.5,31163
1671926400,11.4,6.2,31163
1687478400,10.0,10.0,31163
1684108800,7.2,6.6,31163
1662768000,11.7,12.4,31163
1690070400,3.1,3.2,31163
1672272000,5.1,3.6,31163
1683072000,5.6,5.2,31163
1659484800,3.4,3.5,31163
1674259200,4.0,2.5,31163
1690416000,5.0,5.0,31163
1688083200,4.6,4.4,31163
1649116800,15.9,16.7,31163
1653782400,4.5,4.8,31163
1656028800,2.5,2.7,31163
1641945600,5.4,4.1,31163
1667260800,13.6,11.8,31163
1682726400,3.0,2.4,31163
1684454400,6.9,6.8,31163
1687132800,6.3,6.4,31163
1679356800,2.8,2.0,31163
1650412800,4.8,5.0,31163
1674000000,9.1,7.6,31163
1679961600,8.9,7.4,31163
1668643200,7.8,4.7,31163
1649289600,1.5,1.4,31163
1665705600,8.2,8.8,31163
1649548800,1.9,2.0,31163
1664150400,6.7,7.0,31163
1661385600,6.3,6.6,31163
1686096000,14.9,13.1,31163
1675555200,10.6,7.0,31163
1657238400,3.6,3.9,31163
1646697600,4.5,3.1,31163
1654819200,4.6,5.0,31163
1653264000,8.9,9.7,31163
1647993600,0.8,0.7,31163
1654905600,4.1,4.4,31163
1678752000,12.2,8.8,31163
1658448000,6.0,6.3,31163
1684281600,4.6,4.2,31163
1672963200,8.8,6.2,31163
1661212800,3.4,3.5,31163
1693094400,6.2,6.7,31163
1682812800,3.3,2.8,31163
1650240000,8.3,8.8,31163
1692144000,3.2,3.4,31163
1674604800,1.9,1.2,31163
1657756800,4.1,4.3,31163
1688428800,7.3,7.1,31163
1644796800,5.2,3.7,31163
1673136000,4.8,3.8,31163
1656720000,6.4,6.6,31163
1679270400,9.9,6.4,31163
1655251200,7.5,8.0,31163
1642982400,11.1,7.6,31163
1649635200,4.2,4.3,31163
1669420800,2.8,3.0,31163
1645228800,6.7,4.8,31163
1646784000,6.8,4.6,31163
1662336000,3.9,4.1,31163
1677369600,13.7,12.0,31163
1689120000,4.8,4.5,31163
1676332800,4.9,3.8,31163
1678838400,48.2,32.5,31163
1654992000,5.2,5.7,31163
1688515200,2.8,2.7,31163
1650067200,10.0,10.3,31163
1650499200,4.6,4.9,31163
1684368000,7.6,7.4,31163
1653350400,7.9,8.8,31163
1669161600,8.9,6.3,31163
1660867200,6.2,6.6,31163
1676246400,13.8,9.2,31163
1667865600,6.8,7.2,31163
1654041600,2.6,2.8,31163
1684886400,22.9,21.6,31163
1663286400,5.6,5.8,31163
1642809600,3.8,2.6,31163
1669507200,1.7,1.4,31163
1648684800,4.5,4.3,31163
1642896000,15.5,11.1,31163
1646006400,6.6,4.7,31163
1647129600,6.6,4.6,31163
1660089600,4.1,4.2,31163
1659052800,2.4,2.5,31163
1671580800,8.3,4.6,31163
1678147200,15.7,13.1,31163
1641340800,3.6,3.1,31163
1646092800,10.9,8.6,31163
1668038400,7.6,8.0,31163
1676592000,1.8,1.2,31163
1691366400,4.4,4.6,31163
1681603200,3.7,3.4,31163
1674432000,5.5,3.3,31163
1658707200,3.0,3.1,31163
1654560000,3.6,3.8,31163
1658534400,4.0,4.2,31163
1692662400,2.7,2.7,31163
1671840000,1.5,0.8,31163
1663459200,6.4,6.8,31163
1646524800,6.9,7.0,31163
1641427200,6.6,6.9,31163
1691884800,6.3,6.2,31163
1645660800,6.5,4.1,31163
1644451200,6.4,5.0,31163
1655856000,3.4,3.7,31163
1672099200,9.1,5.5,31163
1682985600,5.9,5.1,31163
1644969600,3.7,3.0,31163
1645833600,6.6,4.0,31163
1683849600,8.0,7.3,31163
1641600000,12.4,9.0,31163
1673222400,9.9,6.7,31163
1660176000,9.2,9.7,31163
1680134400,8.7,6.7,31163
1677715200,11.0,9.3,31163
1642377600,15.1,10.5,31163
1679788800,13.0,10.6,31163
1654214400,4.6,5.0,31163
1658620800,3.5,3.6,31163
1655683200,6.9,7.3,31163
1647561600,19.1,18.4,31163
1674345600,7.4,4.6,31163
1673308800,10.7,7.2,31163
1690156800,4.5,4.5,31163
1654646400,7.7,8.2,31163
1677628800,11.8,10.7,31163
1667952000,6.4,6.6,31163
1642204800,4.6,4.3,31163
1689379200,6.7,6.7,31163
