"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AirNow","481671034","2","5.2","ug/m3 LC","29","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/02/2025","AirNow","481671034","2","5.5","ug/m3 LC","31","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/03/2025","AirNow","481671034","2","6.6","ug/m3 LC","37","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/04/2025","AirNow","481671034","2","8.5","ug/m3 LC","47","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/05/2025","AirNow","481671034","2","8.7","ug/m3 LC","48","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/06/2025","AirNow","481671034","2","2.4","ug/m3 LC","13","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/07/2025","AirNow","481671034","2","3.2","ug/m3 LC","18","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/08/2025","AirNow","481671034","2","6.3","ug/m3 LC","35","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/09/2025","AirNow","481671034","2","5.9","ug/m3 LC","33","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/10/2025","AirNow","481671034","2","3.7","ug/m3 LC","21","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/11/2025","AirNow","481671034","2","4.2","ug/m3 LC","23","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/12/2025","AirNow","481671034","2","3","ug/m3 LC","17","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/13/2025","AirNow","481671034","2","4.8","ug/m3 LC","27","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/14/2025","AirNow","481671034","2","5.1","ug/m3 LC","28","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","","","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
