OBJECTID,SITE_ID,AQS_SITE_CD,SITE_NAME,SITE_AGE_YR,LAT_DD,LONG_DD,HORZ_ACC,HORZ_REF,HORZ_DATE,HORZ_ORG,HORZ_METH,HORZ_DESC,ELEVATION,ELEV_METH,ELEV_ACC,ELEV_DATUM,ELEV_ORG,ELEV_DATE,ADDR_LINE_ONE_TXT,ADDR_LINE_TWO_TXT,ADDR_CITY_NAME,ADDR_USPS_STATE_CD,ADDR_ZIP_CD,ADDR_CNTRY_NAME,AIR_TOXICS_VOC,METEOROLOGICAL,NITROGEN,PM_25,ORG_MAINT_TYPE,ORG_MAINT_NAME,OZONE,CO_SO2_H2S_TNMOC,PM10_OTHER,LEAD,CHROMIUM_VI,CAMS,SITE_LOC,AGC_ASV,CO_ASV,SO2_ASV,H2S_ASV,CANISTER_ASV,GEOID,NAME
"232856","126","482010057",Galena Park,27.5,29.734272,-95.238473,5,,"1724630400000",,GPS_OTHER,,,,,,,"1724630400000",1713 2nd Street,,Galena Park,TX,"77547",UNITED STATES OF AMERICA,"1","1","0","0",STATE AGENCY,TCEQ,"0","0","0","0","0","167",,"1","0","0","0","1","48201",Harris
"232857","154","481410054",El Paso Lower Valley,28.8,31.703868,-106.356042,5,Center of Structure/Building,"1743552000000",TCEQ,GPS_OTHER,,,,,,TCEQ,"1743552000000",8470 Plant Rd,,El Paso,TX,"79907",UNITED STATES OF AMERICA,"0","1","0","0",STATE AGENCY,TCEQ,"0","1","0","0","0","36",,"0","0","0","1","0","48141",El Paso
"232858","161","481410044",El Paso Chamizal,37,31.765706,-106.455242,5,,"1709683200000",TCEQ,GPS_OTHER,,,,,,TCEQ,"1709683200000",800 S San Marcial Street,,El Paso,TX,"79905",UNITED STATES OF AMERICA,"1","1","1","1",STATE AGENCY,TCEQ,"1","1","1","0","0","41",,"1","1","1","0","0","48141",El Paso
"232859","207","480850009",Frisco Eubanks,30.2,33.144674,-96.828797,5,,"1741132800000",TCEQ,GPS_OTHER,,,,,,TCEQ,"1741132800000",6601 Eubanks,,Frisco,TX,"75034",UNITED STATES OF AMERICA,"0","1","0","0",PRIVATE,ALS Environmental (formerly CAS),"0","0","0","1","0","1010",,"0","0","0","0","0","48085",Collin
"232860","225","480391003",Clute,51.3,29.010837,-95.397658,5,,"1694390400000",TCEQ,GPS_OTHER,,,,,,TCEQ,"1694390400000",426 Commerce Street,,Clute,TX,"77531",UNITED STATES OF AMERICA,"1","1","0","0",STATE AGENCY,TCEQ,"0","0","0","0","0","11",,"0","0","0","0","1","48039",Brazoria
"232861","231","480290052",Camp Bullis,26.7,29.632091,-98.564944,5,Center of Structure/Building,"1724025600000",TCEQ,GPS_OTHER,,,,,,TCEQ,"1724025600000",F Range (1000Yd marker off Wilderness Trail),Near Wilderness Rd,San Antonio,TX,"78257",UNITED STATES OF AMERICA,"1","1","1","0",STATE AGENCY,TCEQ,"1","0","0","0","0","58",,"1","0","0","0","0","48029",Bexar
"232862","243","482016000",Cesar Chavez,21.1,29.684372,-95.25361,5,,"1740441600000",,GPS_OTHER,,,,,,,"1740441600000",4829 A  Galveston Rd,,Houston,TX,"77017",UNITED STATES OF AMERICA,"1","1","0","0",STATE AGENCY,TCEQ,"0","0","0","0","0","1020",,"1","0","0","0","0","48201",Harris
"232863","740","482450628",SETRPC Port Arthur,20.5,29.867756,-93.951163,0.5,,"1341100800000",,GPS_OTHER,,"5",OTHER,5,OTHER,,"1341100800000",6956 James Gamble Drive,,Port Arthur,TX,"77642",UNITED STATES OF AMERICA,"0","1","1","0",PRIVATE,AECOM (formerly URS Corp),"1","1","1","0","0","628",,"0","1","1","1","0","48245",Jefferson
"232864","749","482010561",Meyer Park,20.7,30.011667,-95.5225,5,,"1139184000000",,GPS_OTHER,,"12",OTHER,,UNKNOWN,,"1139184000000",7700 Cypresswood Dr,,Houston,TX,"77379",UNITED STATES OF AMERICA,"0","0","0","0",COUNTY AGENCY,Harris County Pollution Control Services,"1","0","0","0","0","561",,"0","0","0","0","0","48201",Harris
"232865","819","480910505",City of Garden Ridge,22,29.639167,-98.298611,5,Center of Structure/Building,"1048550400000",,,,"299",OTHER,3,UNKNOWN,,"1048550400000",21340 FM 3009,,Garden Ridge,TX,"78226",UNITED STATES OF AMERICA,"1","1","1","0",PRIVATE,Weston Solutions,"1","0","0","0","0","505",,"1","0","0","0","0","48091",Comal
