state,county,state_cnty,cnty_fips,pm25_annual,previous_nonatt
Alabama,Baldwin County,"Baldwin County, Alabama",01003,7.5,No
Alabama,Clay County,"Clay County, Alabama",01027,6.8,No
Alabama,DeKalb County,"DeKalb County, Alabama",01049,7.2,No
Alabama,Etowah County,"Etowah County, Alabama",01055,8.2,No
Alabama,Jefferson County,"Jefferson County, Alabama",01073,8.4,Yes
Alabama,Madison County,"Madison County, Alabama",01089,7.1,No
Alabama,Mobile County,"Mobile County, Alabama",01097,7.9,No
Alabama,Morgan County,"Morgan County, Alabama",01103,7.4,No
Alabama,Russell County,"Russell County, Alabama",01113,9.1,No
Alabama,Tuscaloosa County,"Tuscaloosa County, Alabama",01125,7.6,No
Alaska,Anchorage Municipality,"Anchorage Municipality, Alaska",02020,5.6,No
Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",02090,12.2,Yes
Alaska,Juneau City and Borough,"Juneau City and Borough, Alaska",02110,4.9,No
Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",02170,4.5,No
Arizona,La Paz County,"La Paz County, Arizona",04012,4.1,No
Arizona,Maricopa County,"Maricopa County, Arizona",04013,10.5,No
Arizona,Pima County,"Pima County, Arizona",04019,6.1,No
Arizona,Pinal County,"Pinal County, Arizona",04021,12.4,Yes
Arizona,Santa Cruz County,"Santa Cruz County, Arizona",04023,10.2,Yes
Arizona,Yuma County,"Yuma County, Arizona",04027,8.9,No
Arkansas,Arkansas County,"Arkansas County, Arkansas",05001,7.5,No
Arkansas,Crittenden County,"Crittenden County, Arkansas",05035,7.8,No
Arkansas,Polk County,"Polk County, Arkansas",05113,7.8,No
Arkansas,Pulaski County,"Pulaski County, Arkansas",05119,8.8,No
Arkansas,Washington County,"Washington County, Arkansas",05143,7.5,No
California,Alameda County,"Alameda County, California",06001,9.4,Yes
California,Butte County,"Butte County, California",06007,11.6,Yes
California,Calaveras County,"Calaveras County, California",06009,9,No
California,Colusa County,"Colusa County, California",06011,10.5,No
California,Contra Costa County,"Contra Costa County, California",06013,10,Yes
California,Fresno County,"Fresno County, California",06019,17.5,Yes
California,Humboldt County,"Humboldt County, California",06023,7.4,No
California,Imperial County,"Imperial County, California",06025,11.1,Yes
California,Inyo County,"Inyo County, California",06027,8.8,No
California,Kern County,"Kern County, California",06029,18.8,Yes
California,Kings County,"Kings County, California",06031,16.6,Yes
California,Lake County,"Lake County, California",06033,6.6,No
California,Los Angeles County,"Los Angeles County, California",06037,13.4,Yes
California,Madera County,"Madera County, California",06039,13.2,Yes
California,Marin County,"Marin County, California",06041,7.5,Yes
California,Mendocino County,"Mendocino County, California",06045,11.1,No
California,Merced County,"Merced County, California",06047,12.3,Yes
California,Mono County,"Mono County, California",06051,19.5,No
California,Monterey County,"Monterey County, California",06053,6.9,No
California,Nevada County,"Nevada County, California",06057,8.9,No
California,Orange County,"Orange County, California",06059,11.2,Yes
California,Placer County,"Placer County, California",06061,10.9,Yes
California,Plumas County,"Plumas County, California",06063,17,Yes
California,Riverside County,"Riverside County, California",06065,13.6,Yes
California,Sacramento County,"Sacramento County, California",06067,11.7,Yes
California,San Benito County,"San Benito County, California",06069,6.5,No
California,San Bernardino County,"San Bernardino County, California",06071,14,Yes
California,San Diego County,"San Diego County, California",06073,10,No
California,San Francisco County,"San Francisco County, California",06075,8.2,Yes
California,San Joaquin County,"San Joaquin County, California",06077,12.3,Yes
California,San Luis Obispo County,"San Luis Obispo County, California",06079,8.7,No
California,San Mateo County,"San Mateo County, California",06081,7.6,Yes
California,Santa Barbara County,"Santa Barbara County, California",06083,8,No
California,Santa Clara County,"Santa Clara County, California",06085,10.7,Yes
